Column1,short_description
361,ऑपरेशन के परिवार उम्मीद बच्च दूसर बच्च खेल-कूद बाक़ गतिविध हिस्स ले सक 
728,आईएमएफ़ अनुमान प्रत व्यक्त जीडीप आन वाल दिन बांग्लादेश भारत पीछ छोड़ आग जाएग आखिर ऐस कैस होग 
564,लक्ष्म विलास बैंक लिमिटेड आर्थिक स्थित लगातार गिरावट बी तीन साल ज़्याद बैंक लगातार घाट रह इसस इसक नेटवर्थ घट 
683,केंद्र सरकार ओर लाए तीन नए कृष क़ानून निष्प्रभाव के पंजाब विधानसभ तीन नए कृष विधेयक पारित 
725,बूम पाय आजतक द्वार ऐस शो नह किय गय जिसम चैनल समाचार दिय ऐस घट नह 
693,बूम पाय वायरल तस्वीर हिंद अखबार दैनिक पूर्वोदय द्वार प्रकाशित तथ्य जांच लेख केवल हिस्स 
335,गुलाब गेंद वाल डे-नाइट टेस्ट मैच कप्ता विराट कोहल टेस्ट मैच के वो भारत लौट क्योंक वो पि बन वाल 
408,9 दिसंबर सोनिय गांध जन्मदिन ट्विटर सोशल मीडिय उनक काफ़ चर्च रह पढ़ विशेष लेख 
610,बिहार के साथ-साथ राज्य उपचुनाव भारतीय जन पार्ट अच्छ प्रदर्शन किय 11 राज्य 58 विधानसभ सीट चुनाव के नतीज आ 
657,बूम पाय वीडिय वायरल के तुरंत 2018 लड़क अप परिवार के पास वापस पहुंच थी। 
